Institution_ID,Type,Name,City,State,A_Positive_Units,A_Negative_Units,B_Positive_Units,B_Negative_Units,AB_Positive_Units,AB_Negative_Units,O_Positive_Units,O_Negative_Units
1,Hospital,Adams County,Brighton,CO,10500,1853,18250,3221,1000,7300,80300,14171
2,Hospital,Alamosa County,Alamosa,CO,11550,2038,18000,3176,1100,7200,79200,13976
3,Hospital,Arapahoe County,Littleton,CO,12600,2224,17750,3132,1200,7100,78100,13782
4,Hospital,Archuleta County,Pagosa Springs,CO,13650,2409,17500,3088,1300,7000,77000,13588
5,Hospital,Baca County,Springfield,CO,14700,2594,17250,3044,1400,6900,75900,13394
6,Hospital,Bent County,Las Animas,CO,15750,2779,17000,3000,1500,6800,74800,13200
7,Hospital,Boulder County,Boulder,CO,16800,2965,16750,2956,1600,6700,73700,13006
8,Hospital,Broomfield County,Broomfield,CO,17850,3150,16500,2912,1700,6600,72600,12812
9,Hospital,Chaffee County,Salida,CO,18900,3335,16250,2868,1800,6500,71500,12618
10,Hospital,Cheyenne County,Cheyenne Wells,CO,19950,3521,16000,2824,1900,6400,70400,12424
11,Hospital,Clear Creek County,Georgetown,CO,21000,3706,15750,2779,2000,6300,69300,12229
12,Hospital,Conejos County,Conejos,CO,22050,3891,15500,2735,2100,6200,68200,12035
13,Hospital,Costilla County,San Luis,CO,23100,4076,15250,2691,2200,6100,67100,11841
14,Hospital,Crowley County,Ordway,CO,24150,4262,15000,2647,2300,6000,66000,11647
15,Hospital,Custer County,Westcliffe,CO,25200,4447,14750,2603,2400,5900,64900,11453
16,Hospital,Delta County,Delta,CO,26250,4632,14500,2559,2500,5800,63800,11259
17,Hospital,Denver County,Denver,CO,27300,4818,14250,2515,2600,5700,62700,11065
18,Hospital,Dolores County,Dove Creek,CO,28350,5003,14000,2471,2700,5600,61600,10871
19,Hospital,Douglas County,Castle Rock,CO,29400,5188,13750,2426,2800,5500,60500,10676
20,Hospital,Eagle County,Eagle,CO,30450,5374,13500,2382,2900,5400,59400,10482
21,Hospital,El Paso County,Colorado Springs,CO,31500,5559,13250,2338,3000,5300,58300,10288
22,Hospital,Elbert County,Kiowa,CO,32550,5744,13000,2294,3100,5200,57200,10094
23,Hospital,Fremont County,Canon City,CO,33600,5929,12750,2250,3200,5100,56100,9900
24,Hospital,Garfield County,Glenwood City,CO,34650,6115,12500,2206,3300,5000,55000,9706
25,Hospital,Gilpin County,Central City,CO,35700,6300,12250,2162,3400,4900,53900,9512
26,Hospital,Grand County,Hot Sulphur Springs,CO,36750,6485,12000,2118,3500,4800,52800,9318
27,Hospital,Gunnison County,Gunnison,CO,37800,6671,11750,2074,3600,4700,51700,9124
28,Hospital,Hinsdale County,Lake City,CO,38850,6856,11500,2029,3700,4600,50600,8929
29,Hospital,Huerfano County,Walsenburg,CO,39900,7041,11250,1985,3800,4500,49500,8735
30,Hospital,Jackson County,Walden,CO,40950,7226,11000,1941,3900,4400,48400,8541
31,Hospital,Jefferson County,Golden,CO,42000,7412,10750,1897,4000,4300,47300,8347
32,Hospital,Kiowa County,Eads,CO,43050,7597,10500,1853,4100,4200,46200,8153
33,Hospital,Kit Carson County,Burlington,CO,44100,7782,10250,1809,4200,4100,45100,7959
34,Hospital,La Plata County,Durango,CO,45150,7968,10000,1765,4300,4000,44000,7765
35,Hospital,Lake County,Leadville,CO,46200,8153,9750,1721,4400,3900,42900,7571
36,Hospital,Larimer County,Fort Collins,CO,47250,8338,9500,1676,4500,3800,41800,7376
37,Hospital,Las Animas County,Trinidad,CO,48300,8524,9250,1632,4600,3700,40700,7182
38,Hospital,Lincoln County,Hugo,CO,49350,8709,9000,1588,4700,3600,39600,6988
39,Hospital,Logan County,Sterling,CO,50400,8894,8750,1544,4800,3500,38500,6794
40,Hospital,Mesa County,Grand Junction,CO,51450,9079,8500,1500,4900,3400,37400,6600
41,Hospital,Mineral County,Creede,CO,52500,9265,8250,1456,5000,3300,36300,6406
42,Hospital,Moffat County,Craig,CO,53550,9450,8000,1412,5100,3200,35200,6212
43,Hospital,Montezuma County,Cortez,CO,54600,9635,7750,1368,5200,3100,34100,6018
44,Hospital,Montrose County,Montrose,CO,55650,9821,7500,1324,5300,3000,33000,5824
45,Hospital,Morgan County,Fort Morgan,CO,56700,10006,250,1279,5400,2900,31900,5629
46,Hospital,Otero County,La Junta,CO,57750,10191,7000,1235,5500,2800,30800,5435
47,Hospital,Ouray County,Ouray,CO,58800,10376,6750,1191,5600,2700,29700,5241
48,Hospital,Park County,Fairplay,CO,59850,10562,6500,1147,5700,2600,28600,5047
49,Hospital,Phillips County,Holyoke,CO,60900,10747,6250,1103,5800,2500,27500,4853
50,Hospital,Pitkin County,Aspen,CO,61950,10932,6000,1059,5900,2400,26400,4659
51,Hospital,Prowers County,Lamar,CO,63000,11118,5750,1015,6000,2300,25300,4465
52,Hospital,Pueblo County,Pueblo,CO,64050,11303,5500,971,6100,2200,24200,4271
53,Hospital,Rio Blanco County,Meeker,CO,65100,11488,5250,926,6200,2100,23100,4076
54,Hospital,Rio Grande County,Del Norte,CO,66150,11674,5000,882,6300,2000,22000,3882
55,Hospital,Routt County,Steamboat Springs,CO,67200,11859,4750,838,6400,1900,20900,3688
56,Hospital,Saguache County,Saguache,CO,68250,12044,4500,794,6500,1800,19800,3494
57,Hospital,San Juan County,Silverton,CO,69300,12229,4250,750,6600,1700,18700,3300
58,Hospital,San Miguel County,Telluride,CO,70350,12415,4000,706,6700,1600,17600,3106
59,Hospital,Sedgwick County,Julesburg,CO,71400,12600,3750,662,6800,1500,16500,2912
60,Hospital,Summit County,Breckenridge,CO,72450,12785,3500,618,6900,1400,15400,2718
61,Hospital,Teller County,Cripple Creek,CO,73500,12971,3250,574,7000,1300,14300,2524
62,Hospital,Washington County,Akron,CO,74550,13156,3000,529,7100,1200,13200,2329
63,Hospital,Weld County,Greeley,CO,75600,13341,2750,485,7200,1100,12100,2135
64,Hospital,Yuma County,Wray,CO,76650,13526,2500,441,7300,1000,11000,1941